model,rag,sample_id,is_impossible,gold_question,gold_answer,gen_question,gen_answer,inf_time_sec,rougeL,bleu,chrf,bertscore_f1,cosine_sim,a_in_ctx_ratio,answer_exact_match,answer_rougeL
ViT5-base,non-RAG,257,False,"Trong Bộ Tư pháp của chính phủ Roosevelt, Bộ phận Nhân quyền làm việc cùng với cơ quan nào?",Hội Quốc gia vì Tiến bộ của Người da màu,question: Những kẻ theo chủ nghĩa da trắng ưu việt ở đâu? answer: miền Nam Hoa Kỳ và các đồng minh chính trị của bọn họ ở thủ đô Washington,question: Những kẻ theo chủ nghĩa da trắng ưu việt ở đâu? answer: miền Nam Hoa Kỳ và các đồng minh chính trị của bọn họ ở thủ đô Washington,2.2344,0.2121,0.0,15.8524,0.6761,0.4017,0.0,0.0,0.1154
ViT5-base,non-RAG,258,False,Roosevelt đã chiến thắng chiến dịch tranh cử như thế nào?,"tỉ lệ 55% phiếu bầu phổ thông, thắng 38 trong số 48 tiểu bang","question: Trong chiến dịch tranh cử chống đảng viên Cộng hòa Wendell Willkie, Roosevelt đã nhấn mạnh điều gì? answer: sẽ làm mọi việc như có thể để giữ Hoa Kỳ ngoài cuộc chiến","question: Trong chiến dịch tranh cử chống đảng viên Cộng hòa Wendell Willkie, Roosevelt đã nhấn mạnh điều gì? answer: sẽ làm mọi việc như có thể để giữ Hoa Kỳ ngoài cuộc chiến",2.4937,0.2903,0.0798,45.3602,0.7421,0.6138,0.0,0.0,0.0909
ViT5-base,non-RAG,259,False,Cận thần theo Thanh giáo của vua Charles I lo sợ điều gì từ nhà vua?,nhà vua sẽ phục hồi Công giáo,question: Điều gì đã khiến cho các vị lãnh đạo quốc hội Anh phản đối? answer: các chính sách này vi phạm đến các tự do hiến định của nhân dân,question: Điều gì đã khiến cho các vị lãnh đạo quốc hội Anh phản đối? answer: các chính sách này vi phạm đến các tự do hiến định của nhân dân,2.7849,0.2059,0.0,15.0922,0.6748,0.3448,0.0,0.0,0.1724
ViT5-base,non-RAG,260,False,Những ca sĩ nào của Canada có sự nghiệp đạt đến độ cao thế giới?,"Nelly Furtado, Avril Lavigne, Michael Bublé, Drake, The Weeknd và Justin Bieber",question: Ai là người viết nhạc phổ theo một bài thơ ái quốc? answer: Adolphe-Basile Routhier,question: Ai là người viết nhạc phổ theo một bài thơ ái quốc? answer: Adolphe-Basile Routhier,2.0672,0.2381,0.0,9.9196,0.668,0.4275,0.0,0.0,0.0
ViT5-base,non-RAG,261,False,Một trong những hệ quả của cuộc khủng hoảng kinh tế Mĩ năm 1933 là gì?,Hai triệu người trở thành vô gia cư,question: Vì sao các tổ chức tội phạm và giới sống ngoài pháp luật ngày càng gia tăng? answer: Vì thiếu việc làm,question: Vì sao các tổ chức tội phạm và giới sống ngoài pháp luật ngày càng gia tăng? answer: Vì thiếu việc làm,1.6868,0.2295,0.0,13.2207,0.645,0.2438,0.0,0.0,0.1633
ViT5-base,non-RAG,262,False,Gaston Jèze là ai?,"giáo sư luật Gaston Jèze, người từng được chỉ định làm cố vấn pháp lý của Negus tại Ethiopia tháng 1 năm 1936",question: Mitterrand tham gia vào tổ chức nào? answer: Volontaires nationaux (Người tình nguyện Quốc gia),question: Mitterrand tham gia vào tổ chức nào? answer: Volontaires nationaux (Người tình nguyện Quốc gia),1.8194,0.0,0.0,7.8363,0.6257,0.1652,0.0,0.0,0.2759
ViT5-base,non-RAG,263,False,Số người trong độ tuổi lao động không có việc làm ở Puerto Rico chiếm bao nhiêu phần trăm?,"11,7%","question: Năm 2007, thu nhập bình quân của Puerto Rico là bao nhiêu? answer: 19.600 USD","question: Năm 2007, thu nhập bình quân của Puerto Rico là bao nhiêu? answer: 19.600 USD",1.7646,0.2449,0.0,24.6237,0.7231,0.7342,0.0,0.0,0.0
ViT5-base,non-RAG,264,False,Điều gì đã chuyển biến đảng từ một tổ chức tinh duệ số ít thành một đảng lớn với sức lôi cuốn toàn quốc?,Một tổ chức có giai cấp của các uỷ ban được thành lập,question: Ai là chủ tịch hội Liên hiệp Tự trị Toàn Ấn Độ? answer: Gandhi,question: Ai là chủ tịch hội Liên hiệp Tự trị Toàn Ấn Độ? answer: Gandhi,1.943,0.2143,0.0,9.4066,0.649,0.3706,0.0,0.0,0.1538
ViT5-base,non-RAG,265,False,Loại hình thể thao nào chiếm vị trí thứ nhất ở Puerto Rico?,Bóng chày,"question: Những môn thể thao nào phổ biến tại Puerto Rico? answer: Quyền anh, bóng rổ và bóng chuyền","question: Những môn thể thao nào phổ biến tại Puerto Rico? answer: Quyền anh, bóng rổ và bóng chuyền",1.5404,0.3556,0.0,37.3889,0.7487,0.8754,0.0,0.0,0.125
ViT5-base,non-RAG,266,False,Khi nào thì tỉnh Québec được chia làm hai vùng?,1791,question: Đạo luật Hiến pháp 1791 đã chia Quebec thành những tỉnh nào? answer: Hạ Canada (sau là Québec) Pháp ngữ và Thượng Canada (sau là Ontario) Anh ngữ,"question: Để hòa giải những người nói tiếng Anh trung thành tại Quebec, Đạo luật Hiến pháp 1791 đã chia Quebec thành những tỉnh nào? answer: Hạ Canada (sau là Québec) Pháp ngữ và Thượng Canada (sau là Ontario) Anh ngữ",3.1116,0.3019,0.0,20.6665,0.6929,0.7899,0.0,0.0,0.0345
ViT5-base,non-RAG,267,False,"Vào ngày 15 tháng 1 năm 1934, điều gì đã xảy ra?",một cơn động đất xảy ra tại Bihar,"question: Vì sao Gandhi phản đối lập trường của Gandhi? answer: tội lỗi của những môn đồ Ấn giáo thuộc giai cấp cao, vì họ không cho những kẻ ti tiện vào đền thờ","question: Vì sao Tagore phản đối lập trường của Gandhi? answer: tội lỗi của những môn đồ Ấn giáo thuộc giai cấp cao, vì họ không cho những kẻ ti tiện vào đền thờ",2.2006,0.1515,0.0,8.784,0.6058,0.1242,0.0,0.0,0.1311
ViT5-base,non-RAG,268,False,Ý kiến của Gruzia trong việc tăng cường sự hiện diện của Nga là gì?,phản đối,question: Chính phủ Gruzia phản đối điều gì? answer: sự liên tục tăng cường hiện diện về kinh tế và chính trị của Nga trong vùng và phản đối quân đội không bị kiểm soát của phía Nam Ossetia,question: Chính phủ Gruzia phản đối điều gì? answer: sự liên tục tăng cường hiện diện về kinh tế và chính trị của Nga trong vùng và phản đối quân đội không bị kiểm soát của phía Nam Ossetia,2.5259,0.325,0.0,39.7607,0.7526,0.7879,0.0,0.0,0.0984
ViT5-base,non-RAG,269,False,Mitterrand giúp một Đạo luật đi vào hoạt động vào thời gian nào?,Tháng 2 năm 1986,question: Hiệp ước Maastricht được ký kết vào thời gian nào? answer: ngày 7 tháng 2 năm 1992,question: Hiệp ước Maastricht được ký kết vào thời gian nào? answer: ngày 7 tháng 2 năm 1992,1.569,0.383,0.17,31.2955,0.7435,0.3644,0.0,0.0,0.3125
ViT5-base,non-RAG,270,False,Số lượng quân lính mà Hoa Kỳ đã triệu tập lên đến con số bao nhiêu?,500.000 quân,question: Những chiếc F-15 của Hoa Kỳ đã hạ cánh xuống Ả Rập Xê Út vào thời gian nào? answer: ngày 8 tháng 8,question: Những chiếc F-15 của Hoa Kỳ đã hạ cánh xuống Ả Rập Xê Út vào thời gian nào? answer: ngày 8 tháng 8,2.0804,0.1786,0.0,18.4944,0.6867,0.5309,0.0,0.0,0.0526
ViT5-base,non-RAG,271,False,Ai là người đứng đầu Mông Cổ kể từ ngày 26 tháng 1 năm 1952?,Yumjaagiin Tsedenbal,question: Yumjaagiin Tsedenbal lên nắm quyền vào thời gian nào? answer: Ngày 26 tháng 1 năm 1952,question: Yumjaagiin Tsedenbal lên nắm quyền vào thời gian nào? answer: Ngày 26 tháng 1 năm 1952,2.3,0.4783,0.1876,35.4785,0.7193,0.6373,0.0,0.0,0.1429
ViT5-base,non-RAG,272,False,Tại Texas có bao nhiêu thành phố có dân số lớn hơn 600.000 người vào năm 2010?,sáu thành phố,"question: Thành phố nào đông dân nhất Hoa Kỳ? answer: Austin, San Antonio, và El Paso","question: Thành phố nào đông dân nhất Hoa Kỳ? answer: Austin, Fort Worth, và El Paso",1.3619,0.2553,0.0,17.301,0.674,0.7236,0.0,0.0,0.24
ViT5-base,non-RAG,273,False,Người rót rượu cho Hoàng đế phải đứng trong tư thế như thế nào?,phải quỳ trên một đầu gối,"question: Khi Hoàng đế và gia đình ông đi qua, triều thần phải làm gì? answer: cúi đầu thật thấp và quỳ một gối xuống","question: Khi Hoàng đế và gia đình ông đi qua, triều thần phải làm gì? answer: cúi đầu thật thấp và quỳ một gối xuống",1.9226,0.2593,0.0,20.2563,0.7063,0.6488,0.0,0.0,0.3111
ViT5-base,non-RAG,274,False,"Trong ngày lễ Thánh Barthelemy, có bao nhiêu tín đồ Tin Lành bị Kito giáo giết?",2 ngàn tới 10 ngàn,question: Cuộc chiến tranh tôn giáo diễn ra trong khoảng thời gian nào? answer: Từ 1562 tới 1598,question: Cuộc chiến tranh tôn giáo diễn ra trong khoảng thời gian nào? answer: Từ 1562 tới 1598,2.2745,0.2449,0.0,15.2771,0.6423,0.5458,0.0,0.0,0.2286
ViT5-base,non-RAG,275,False,Vì sao các ưu thế trong công nghệ quân sự của liên minh không được phát huy tốt khi chiến đấu nội thành?,có thể gây ra những thương vong đáng kể đối với các lực lượng tấn công,question: Chiến thuật chiến tranh đô thị là gì? answer: chiến đấu bên trong Thành phố Kuwait,question: Chiến thuật chiến tranh đô thị là gì? answer: chiến đấu bên trong Thành phố Kuwait,1.9248,0.2857,0.0,22.9728,0.6871,0.4375,0.0,0.0,0.1277
ViT5-base,non-RAG,276,False,Quân số của lực lượng vũ trang Nouvelle-Calédonie là bao nhiêu?,2.000 binh sĩ,question: Lực lượng vũ trang Nouvelle-Calédonie FANC gồm bao nhiêu binh sĩ? answer: khoảng 2.000 binh sĩ,"question: Lực lượng trên bộ gồm những gì? answer: hai tàu tuần tra lớp P400, một tàu đổ bộ lớp BATRAL, và một tàu tuần tra của Hiến binh Hàng hải",2.1304,0.5581,0.1481,62.4205,0.7804,0.8535,0.0,0.0,0.0385
ViT5-base,non-RAG,277,False,Chi tiêu chính phủ quốc gia Hoa Kỳ đã có những thay đổi như thế nào dưới thời tổng thống Roosevelt?,"tăng từ 8,0% tổng sản lượng quốc gia dưới thời Tổng thống Hoover năm 1932 lên 10,2% tổng sản lượng quốc gia năm 1936","question: Nợ quốc gia dưới thời Hoover là bao nhiêu? answer: 10,2%","question: Nợ quốc gia dưới thời Hoover là bao nhiêu? answer: 10,2%",1.6208,0.3043,0.0,21.0601,0.7031,0.4255,0.0,0.0,0.4068
ViT5-base,non-RAG,278,False,Đâu được xem là nguyên nhân khởi nguồn cho sự hình thành lưu vực sông Seine?,sự tạo thành của dãy Alps,question: Bồn Paris trở thành lục địa vào thời gian nào? answer: cuối thế Oligocen,question: Bồn Paris trở thành lục địa vào thời gian nào? answer: cuối thế Oligocen,1.7842,0.2128,0.0,14.3221,0.6456,0.627,0.0,0.0,0.25
ViT5-base,non-RAG,279,False,Kể tên một vài nơi xuất hiện con người sớm nhất ở Canada?,Các di chỉ khảo cổ học người Da đỏ cổ đại (Paleo-Indian) tại bình nguyên Old Crow và các động Bluefish,question: Các di chỉ khảo cổ học người Da đỏ cổ đại tại đâu? answer: bình nguyên Old Crow và các động Bluefish,question: Các di chỉ khảo cổ học người Da đỏ cổ đại tại đâu? answer: bình nguyên Old Crow và các động Bluefish,2.0485,0.1961,0.0,14.772,0.6727,0.4479,0.0,0.0,0.9153
ViT5-base,non-RAG,280,False,"Tại hội nghị Tehran, Roosevelt, Churchill và Stalin đã bàn luận với nhau những vấn đề gì?",kế hoạch xâm chiếm nước Pháp năm 1944,question: Ai là lãnh tụ của Trung Quốc Quốc dân đảng Tưởng Giới Thạch? answer: Tưởng Giới Thạch,question: Ai là lãnh tụ của Trung Quốc Quốc dân đảng Tưởng Giới Thạch? answer: Tưởng Giới Thạch,1.8409,0.1569,0.0,12.1899,0.5953,0.3995,0.0,0.0,0.093
ViT5-base,non-RAG,281,False,Sự bất mãn và hỗn loạn do các đạo luật mà Nouvelle-Calédonie thông qua đạt đến đỉnh cao ở sự kiện nào?,cuộc bắt cóc con tin đẫm máu tại Ouvéa,question: Các hiệp định Matignon được ký kết vào ngày nào? answer: ngày 26 tháng 6 năm 1988,question: Các hiệp định Matignon được ký kết vào ngày nào? answer: ngày 26 tháng 6 năm 1988,1.8528,0.2373,0.0,12.6138,0.6786,0.3802,0.0,0.0,0.1905
ViT5-base,non-RAG,282,False,Những trường phái tư tưởng của thần học Hồi giáo là những trường phái nào?,"Sunni, Shia, Kharijites",question: Ai là người đi theo trường phái Sufi? answer: Abu Hamid Muhammad al-Ghazali,question: Ai là nhà tư tưởng nổi tiếng đi theo trường phái Sufi? answer: Abu Hamid Muhammad al-Ghazali,1.5953,0.3043,0.0,20.2304,0.7173,0.6842,0.0,0.0,0.0
ViT5-base,non-RAG,283,False,"Trước Charles-de-Gaulle, Paris có sân bay lớn nào?",Orly,question: Sân bay nào là sân bay bận rộn thứ 5 trên thế giới? answer: Charles-de-Gaulle,question: Sân bay nào là sân bay bận rộn thứ 5 trên thế giới? answer: Charles-de-Gaulle,2.0147,0.3077,0.0,43.8118,0.7584,0.7171,0.0,0.0,0.0
ViT5-base,non-RAG,284,False,"Ai đã soạn kịch cho tác phẩm ""Bóng ma trong nhà hát""?",Andrew Lloyd Webber,question: Ai là tác giả của tiểu thuyết Bóng ma trong nhà hát? answer: Gaston Leroux,question: Ai là tác giả của tiểu thuyết Bóng ma trong nhà hát? answer: Gaston Leroux,1.4862,0.5128,0.2131,37.8624,0.7809,0.7387,0.0,0.0,0.0
ViT5-base,non-RAG,285,False,Ở phía tây Texas có bao nhiêu xa lộ liên tiểu bang?,Ba xa lộ,question: Texas có bao nhiêu quận? answer: 254 quận,question: Texas có bao nhiêu quận? answer: 254 quận,1.5223,0.4286,0.2062,36.3883,0.7242,0.7265,0.0,0.0,0.0
ViT5-base,non-RAG,286,False,Trên loại đất nào thì loài dương xỉ Cyathea intermedia mọc phổ biến?,đất có tính a xít,question: Đất gồm đá siêu mafic là gì? answer: nơi trú ẩn cho nhiều loài thực vật bản địa do tại đó có độc và hàm lượng khoáng không phù hợp với hầu hết thực vật ngoại lai,question: Đất gồm đá siêu mafic là gì? answer: nơi trú ẩn cho nhiều loài thực vật bản địa,1.9889,0.2368,0.0,15.6825,0.662,0.4978,0.0,0.0,0.2424
ViT5-base,non-RAG,287,False,Gandhi lần đầu tiên áp dụng nguyên tắc chấp trì chân lý khi nào?,Tại một cuộc biểu tình lớn được tổ chức tại Johannesburg vào tháng 9,"question: Sau khi chiến tranh kết thúc, tình trạng của người Ấn tại Nam Phi như thế nào? answer: không khả quan hơn, vẫn tiếp tục sa đoạ","question: Sau khi chiến tranh kết thúc, tình trạng của người Ấn tại Nam Phi như thế nào? answer: không khả quan hơn, vẫn tiếp tục sa đoạ",2.0212,0.2187,0.0,14.7568,0.6722,0.3155,0.0,0.0,0.2727
ViT5-base,non-RAG,288,False,Đạo Tin lành không được khuyến khích và truyền bá rộng rãi ở Puerto Rico vào thời gian nào?,Dưới sự cai trị của người Tây Ban Nha,question: Tôn giáo nào lâu đời nhất tại Puerto Rico? answer: Công giáo Rôma,question: Tôn giáo nào lâu đời nhất tại Puerto Rico? answer: Công giáo Rôma,1.5677,0.2745,0.0,21.5693,0.6769,0.5529,0.0,0.0,0.1667
ViT5-base,non-RAG,289,False,Điều gì đã được phản ánh thông qua khắc gỗ mà đặc biệt là gỗ houp?,"đức tin của xã hội bộ lạc truyền thống, và bao gồm các vật tổ, mặt nạ, khung cửa, hoặc flèche faîtière","question: Kaneka là gì? answer: một loại hình âm nhạc địa phương, được truyền cảm hứng từ reggae và khởi nguồn từ reggae",question: Mwâ Ka là gì? answer: một cọc vật tổ cao 12m kỷ niệm việc Pháp sáp nhập Nouvelle-Calédonie,1.758,0.2642,0.0,15.2753,0.6642,0.2465,0.0,0.0,0.3077
ViT5-base,non-RAG,290,False,Những địa điểm bị đặt mục tiêu trong giai đoạn thứ ba của cuộc chiến là gì?,"các bệ phóng tên lửa Scud, các địa điểm vũ khí hủy diệt hàng loạt, những cơ sở nghiên cứu vũ khí và các lực lượng hải quân","question: Mục tiêu của chiến dịch không quân là gì? answer: các mục tiêu quân sự trên khắp Iraq và Kuwait: các bệ phóng tên lửa Scud, các địa điểm vũ khí hủy diệt hàng loạt, những cơ sở nghiên cứu vũ khí và các lực lượng hải quân",question: Mục tiêu chủ yếu của chiến dịch không quân là gì? answer: các mục tiêu quân sự trên khắp Iraq và Kuwait,2.6239,0.2095,0.0,27.8319,0.7068,0.5511,0.0,0.0,0.3133
ViT5-base,non-RAG,291,False,Hỗn độn của triều đình được ví ngang bằng gì?,không bao giờ có mối kết dính các cơ quan với nhau,question: Hoàng đế Leopold I là người như thế nào? answer: là một ông vua thiếu quyết đoán,question: Hoàng đế Leopold I là người như thế nào? answer: là một ông vua thiếu quyết đoán,1.6358,0.1053,0.0,11.1911,0.6655,0.2195,0.0,0.0,0.1429
ViT5-base,non-RAG,292,False,Cách trình bày cuộc đời Gandhi nổi tiếng nhất là gì?,bộ phim Gandhi (1982),question: Bộ phim The Making of the Mahatma do ai đạo diễn? answer: Richard Attenborough và diễn viên Ben Kingsley,question: Bộ phim The Making of the Mahatma do ai đạo diễn? answer: Richard Attenborough và diễn viên Ben Kingsley,2.2894,0.0976,0.0,11.4438,0.6399,0.4358,0.0,0.0,0.1481
ViT5-base,non-RAG,293,False,Thủ tướng Pháp Édouard Daladier đã nói với Roosevelt điều gì trong báo cáo của ông gửi cho Ngài tổng thống?,"""Nếu tôi có ba hoặc bốn ngàn phi cơ thì Hội nghị München đã không bao giờ xảy ra",question: Vì sao Roosevelt lại thực hiện một loạt những phát biểu trái ngược đến dân chúng Mỹ? answer: vì sự chống đối của chủ nghĩa biệt lập tại Quốc hội,question: Vì sao Roosevelt lại thực hiện một loạt những phát biểu trái ngược đến dân chúng Mỹ? answer: vì sự chống đối của chủ nghĩa biệt lập tại Quốc hội,2.2887,0.2651,0.0,20.6868,0.6577,0.5989,0.0,0.0,0.2308
ViT5-base,non-RAG,294,False,Nếu không bị mất mạng bởi chiến tranh hay dịch bệnh thì người bản địa Puerto Rico sẽ ra sao?,bị người Tây Ban Nha bắt làm nô lệ,question: Những người thổ dân Taino hoặc bị giết trong những trận chiếm đẫm máu có ưu thế thuộc về ai? answer: người Tây Ban Nha hay những bệnh dịch chết người từ châu Âu mà họ chưa tiếp xúc bao giờ,question: Những người thổ dân Taino hoặc bị giết trong những trận chiếm đẫm máu mà ưu thế thuộc về ai? answer: người Tây Ban Nha hay những bệnh dịch chết người từ châu Âu mà họ chưa tiếp xúc bao giờ,2.7929,0.2581,0.0,19.4439,0.7061,0.5341,0.0,0.0,0.2632
ViT5-base,non-RAG,295,False,Columbus đã vô tình tìm thấy Puerto Rico trong chuyến viễn chinh lần thứ mấy?,lần thứ hai,question: Vào năm nào thì Juan Ponce de Leon trở thành thống đốc đầu tiên của đảo Puerto Rico? answer: Năm 1508,question: Vào năm nào thì Juan Ponce de Leon trở thành thống đốc đầu tiên của đảo Puerto Rico? answer: Năm 1508,1.6638,0.2745,0.0,22.0863,0.6844,0.6206,0.0,0.0,0.1176
ViT5-base,non-RAG,296,False,Người Đức gọi Đế quốc La Mã Thần Thánh là gì?,Heiliges Römisches Reich,question: Đế quốc La Mã Thần Thánh tồn tại từ khi nào? answer: cuối thời sơ kỳ Trung cổ cho đến năm 1806,"question: Đế quốc La Mã Thần Thánh là gì? answer: một phức hợp lãnh thổ rộng lớn đa sắc tộc, mà chủ yếu là người Đức",1.7322,0.3478,0.185,42.3001,0.7633,0.6225,0.0,0.0,0.0476
ViT5-base,non-RAG,297,False,Ai là người đã vạch trần luận điệu sai trái về binh lính Iraq của công ty Hill and Knowlton?,một thành viên của Gia đình hoàng gia Kuwait,question: Tổ chức các công dân cho một nước Kuwait tự do được thành lập ở đâu? answer: Mỹ,question: Tổ chức các công dân cho một nước Kuwait tự do được thành lập ở đâu? answer: Mỹ,1.8379,0.1852,0.0,12.927,0.6695,0.271,0.0,0.0,0.25
ViT5-base,non-RAG,298,False,"Nội dung ""Những người khốn khổ"" nói về gì?","miêu tả cuộc sống nhiều mặt của thành phố, khiến Paris trở thành cổ điển",question: Tiểu thuyết gia lớn nhất của Paris là ai? answer: Eugène Sue,question: Tiểu thuyết gia lớn nhất của Paris là ai? answer: Eugène Sue,1.6087,0.1212,0.0,6.0137,0.646,0.3777,0.0,0.0,0.2727
ViT5-base,non-RAG,299,False,Số lượng người Việt ở Montréal trước 1975 là khoảng bao nhiêu?,100 người,question: Số lượng người Việt sinh sống tại Montréal là bao nhiêu? answer: 25.605 cư dân gốc Việt đông thứ nhì,question: Số lượng người Việt sinh sống tại Montréal là bao nhiêu? answer: 25.605 cư dân gốc Việt đông thứ nhì,1.8197,0.52,0.1517,48.7555,0.8024,0.7775,0.0,0.0,0.1143
ViT5-base,RAG,0,False,Những chiến trận bị nhiễm urani nghèo đã được Tổ chức sức khoẻ thế giới tiếp cận bằng cách nào?,nhờ một phái đoàn năm 2001 tới Kosovo,question: Sự phát triển mạnh mẽ của nền kinh tế ở các nước tư bản chủ nghĩa là do đâu? answer: Sự phát triển mạnh mẽ của nền kinh tế,question: Sự phát triển mạnh mẽ của nền kinh tế ở các nước tư bản chủ nghĩa là do đâu? answer: Sự phát triển mạnh mẽ của nền kinh tế,3.2495,0.2667,0.0,13.1423,0.6517,0.2963,0.0,0.0,0.25
ViT5-base,RAG,1,False,Vua Phổ kéo quân đánh triều Habsburg vào thời gian nào?,16 tháng 12 năm 1740,question: Sự kiện gì đã diễn ra vào ngày 16 tháng 12 năm 1740? answer: vua nước Phổ kéo 27 nghìn quân rời khỏi xứ Brandenburg đi đánh tỉnh Silesia của Vương triều Habsburg,question: Sự kiện gì đã diễn ra vào ngày 16 tháng 12 năm 1740? answer: vua nước Phổ kéo 27 nghìn quân rời khỏi xứ Brandenburg đi đánh tỉnh Silesia của Vương triều Habsburg,3.009,0.303,0.0,36.0494,0.7281,0.6925,0.0,0.0,0.25
ViT5-base,RAG,2,False,Ẩm thực Paris có sự hiện diện của những nước nào trên thế giới?,"Ý, Ấn Độ, Trung Quốc, Việt Nam, Thái Lan",question: Nhà hàng Jules Verne nằm ở đâu? answer: trên tầng hai của tháp Eiffel,question: Nhà hàng Jules Verne nằm ở đâu? answer: trên tầng hai của tháp Eiffel,4.2907,0.2791,0.0,15.2616,0.6882,0.4592,0.0,0.0,0.2
ViT5-base,RAG,3,False,Đại khủng hoảng vào đầu thập kỷ 1930 đã gây ảnh gì đến Canada?,"kinh tế bị suy thoái, khiến toàn quốc gặp cảnh gian khổ","question: Các nước nào đã tiến hành cách mạng công nghiệp? answer: Anh Quốc, Anh Quốc, Trung Quốc và Liên Xô","question: Các nước nào đã tiến hành cách mạng công nghiệp? answer: Anh Quốc, Anh Quốc, Trung Quốc và Liên Xô",5.2332,0.1569,0.0,11.8112,0.6517,0.4662,0.0,0.0,0.1961
ViT5-base,RAG,4,False,"Vật liệu nào đã đươc dùng thay thế cho các bức tường kiểu lưới mắt cáo, cột chống mái và các lớp nỉ?","đá, gạch, các dầm và những tấm ván","question: Nền văn minh Đại Việt bước đầu được định hình thông qua sự kiện nào? answer: công cuộc củng cố chính quyền, phát triển kinh tế và văn hoá","question: Nền văn minh Đại Việt bước đầu được định hình thông qua sự kiện nào? answer: công cuộc củng cố chính quyền, phát triển kinh tế và văn hoá",5.7373,0.3333,0.0,14.3776,0.6563,0.1179,0.0,0.0,0.2373
ViT5-base,RAG,5,False,Viện Phục hồi Roosevelt Warm Springs được Roosevelt thành lập khi nào?,Trong năm 1926,"question: Vào năm 1921, Roosevelt đã mắc phải căn bệnh gì? answer: bệnh bại liệt","question: Vào năm 1921, Roosevelt đã mắc phải căn bệnh gì? answer: bệnh bại liệt",5.5263,0.2439,0.0,21.1013,0.6581,0.5853,0.0,0.0,0.1481
ViT5-base,RAG,6,False,Hai thành phố nào được gọi là thành phố của tình yêu?,"Venezia, Paris","question: Từ ""parisien"" trong tiếng Pháp có nghĩa là gì? answer: thiên đường","question: Từ ""parisien"" trong tiếng Pháp có nghĩa là gì? answer: thiên đường",5.0108,0.1667,0.0,10.7996,0.6325,0.1967,0.0,0.0,0.0
ViT5-base,RAG,7,False,Loài người xuất hiện sớm nhất ở nơi nào trong lãnh thổ của Canada?,bắc bộ khu vực Yukon,question: Những người dân bản địa sinh sống lâu đời ở vùng duyên hải và một phần cao nguyên miền Trung là những người nào? answer: người nói tiếng Môn-Khmer,"question: Điều kiện tự nhiên của văn minh Phù Nam là gì? answer: sông Ấn và sông Hằng tạo ra những điều kiện tự nhiên thuận lợi cho sự phát triển của kinh tế, chính trị, xã hội và dân cư",7.2854,0.274,0.0,16.3817,0.7261,0.3874,0.0,0.0,0.087
ViT5-base,RAG,8,False,Franklin Delano Roosevelt có vai trò gì trong tình hình chiến sự thế giới trong giữa thế kỷ XX?,khuôn mặt trung tâm,"question: Ý nghĩa lịch sử của Cách mạng Tháng Tám là gì? answer: mở ra bước ngoặt lớn của dân tộc: đập tan ách cai trị hơn 80 năm của thực dân Pháp và 5 năm của phát xít Nhật, chấm dứt vĩnh viễn chế độ quân chủ ở Việt Nam","question: Ý nghĩa lịch sử của Cách mạng Tháng Tám là gì? answer: mở ra bước ngoặt lớn của dân tộc: đập tan ách cai trị hơn 80 năm của thực dân Pháp và 5 năm của phát xít Nhật, chấm dứt vĩnh viễn chế độ quân chủ ở Việt Nam",8.4088,0.1373,0.0,13.27,0.6584,0.4406,0.0,0.0,0.1176
ViT5-base,RAG,9,False,Người dân vẫn chưa biết những gì về Mitterrand?,bệnh ung thư tuyến tiền liệt của ông được chẩn đoán năm 1981 và các chi tiết quá khứ của ông thời Chế độ Vichy,question: Các bài học lịch sử của các cuộc kháng chiến bảo vệ Tổ quốc từ năm 1945 đến nay là gì? answer: 52 - Bài 10: Thành tựu cơ bản và bài học của công cuộc Đổi mới ở Việt Nam từ năm 1986 đến nay: 52,question: Các bài học lịch sử của các cuộc kháng chiến bảo vệ Tổ quốc từ năm 1945 đến nay là gì? answer: 52 - Bài 10: Thành tựu cơ bản và bài học của công cuộc Đổi mới ở Việt Nam từ năm 1986 đến nay: 52 - Bài 10: Thành tựu cơ bản và bài học của công cuộc Đổi mới ở Việt Nam từ năm 1986 đến nay: 52,12.3684,0.1412,0.0,9.6815,0.6249,0.3629,0.0,0.0,0.2429
ViT5-base,RAG,10,False,Canada tiếp giáp với các quốc gia nào bằng biên giới trên cạn?,Hoa Kỳ liền kề ở phía nam và bang Alaska của Hoa Kỳ ở phía tây bắc,question: Khu vực Nam Âu có những bán đảo nào? answer: bán đảo Ban-căng và bán đảo I-ta-li-a,question: Khu vực Nam Âu có những bán đảo nào? answer: bán đảo Ban-căng và bán đảo I-ta-li-a,6.0341,0.3396,0.0,12.4977,0.6799,0.4504,0.0,0.0,0.16
ViT5-base,RAG,11,False,Năm 2011 thì tăng trưởng GDP là bao nhiêu?,"3,11 tỷ USD","question: Năm 2025, TP.HCM đóng góp bao nhiêu % GDP cả nước? answer: 27% GDP cả nước, 30% ngân sách nhà nước","question: Năm 2025, TP.HCM đóng góp bao nhiêu % GDP cả nước? answer: 27% GDP cả nước, 30% ngân sách nhà nước",5.9096,0.2791,0.0,25.4874,0.7251,0.6504,0.0,0.0,0.0
